,reply_settings,text,idleft,source,created_at,edit_history_tweet_ids,conversation_id,lang,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,in_reply_to_user_id,geo.place_id,geo.coordinates.type,geo.coordinates.coordinates,type,idright
6332,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602990358538985473,Twitter for iPhone,2022-12-14T11:34:18.000Z,['1602990358538985473'],1602990358538985473,pt,805422773669658624,2000,0,0,0,,,,,retweeted,1602788250367758337
6333,everyone,"RT @JackSlaterPT: ""Sucesso da vacinação"" https://t.co/fsXKr2kH7T",1602990344853164033,Twitter for Android,2022-12-14T11:34:14.000Z,['1602990344853164033'],1602990344853164033,pt,1584234638645542915,16,0,0,0,,,,,retweeted,1602951519342575618
6334,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602990343695355906,Twitter for Android,2022-12-14T11:34:14.000Z,['1602990343695355906'],1602990343695355906,pt,105661004,1368,0,0,0,,,,,retweeted,1602720475389517824
6335,everyone,Gente eu n consigo me mover o que essa vacina fez cmg socorro,1602990109049196547,Twitter for iPhone,2022-12-14T11:33:18.000Z,['1602990109049196547'],1602990109049196547,pt,3433853416,0,3,8,0,,,,,,
6336,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602990048974102528,Twitter for iPhone,2022-12-14T11:33:04.000Z,['1602990048974102528'],1602990048974102528,pt,901792956356624384,1368,0,0,0,,,,,retweeted,1602720475389517824
6337,everyone,RT @LulaOficial: O dia de hoje é de agradecimento para quem fez o melhor para examinar o estado atual do nosso país. Acho que teremos uma r…,1602989997774209024,Twitter for Android,2022-12-14T11:32:52.000Z,['1602989997774209024'],1602989997774209024,pt,1035947281198067713,706,0,0,0,,,,,retweeted,1602737786242605059
6338,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602989970624577536,Twitter for Android,2022-12-14T11:32:45.000Z,['1602989970624577536'],1602989970624577536,pt,18822272,1368,0,0,0,,,,,retweeted,1602720475389517824
6339,everyone,"RT @contagemcorona1: 🟠VACINEM as CRIANÇAS contra a Paralisia infantil.

O Brasil ainda não atingiu a meta de imunização em 2022.

Vamos com…",1602989965725540353,Twitter for Android,2022-12-14T11:32:44.000Z,['1602989965725540353'],1602989965725540353,pt,24511789,16,0,0,0,,,,,retweeted,1602988688551682048
6340,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602989962454077440,Twitter for Android,2022-12-14T11:32:43.000Z,['1602989962454077440'],1602989962454077440,pt,325812764,2000,0,0,0,,,,,retweeted,1602788250367758337
6341,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602989864202403840,Twitter for Android,2022-12-14T11:32:20.000Z,['1602989864202403840'],1602989864202403840,pt,66750791,2000,0,0,0,,,,,retweeted,1602788250367758337
6342,everyone,"RT @drjfcrepm: "" O discurso parlamentar mais importante que você verá e pode salvar sua vida. O MP pede a suspensão da vacina de mRNA por c…",1602989849627267080,Twitter Web App,2022-12-14T11:32:16.000Z,['1602989849627267080'],1602989849627267080,pt,960893961542959104,15,0,0,0,,,,,retweeted,1602988940851642368
6343,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602989849149071362,Twitter for Android,2022-12-14T11:32:16.000Z,['1602989849149071362'],1602989849149071362,pt,828574821114138624,1368,0,0,0,,,,,retweeted,1602720475389517824
6344,everyone,"@rosmalach @lucinhalevita São todos uns idiotas. O presidente, como qualquer outro faria, esperou a aprovação da ANVISA para comprar as vacinas. Se compra sem a tal aprovação morreriam pessoas e aí o discurso seria que comprou a vacina sem aprovação da ANVISA. Só narrativa.",1602989841221914625,Twitter for Android,2022-12-14T11:32:14.000Z,['1602989841221914625'],1602832857021513728,pt,2790646130,0,0,1,0,33523859,,,,replied_to,1602840916645101572
6345,everyone,"RT @ptsantoamaro: Vestindo o broche do Zé Gotinha, o presidente Lula mostra o valor da vacina, da ciência e do SUS 💙

Novos tempos, Brasil…",1602989833538109440,Twitter Web App,2022-12-14T11:32:13.000Z,['1602989833538109440'],1602989833538109440,pt,1456312767745515526,5,0,0,0,,,,,retweeted,1602975755922726912
6346,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602989829490446339,Twitter for iPhone,2022-12-14T11:32:12.000Z,['1602989829490446339'],1602989829490446339,pt,1525261695987470337,1368,0,0,0,,,,,retweeted,1602720475389517824
6347,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602989821609263105,Twitter for iPhone,2022-12-14T11:32:10.000Z,['1602989821609263105'],1602989821609263105,pt,272334606,1368,0,0,0,,,,,retweeted,1602720475389517824
6348,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602989714201518088,Twitter for Android,2022-12-14T11:31:44.000Z,['1602989714201518088'],1602989714201518088,pt,728321457458139136,2000,0,0,0,,,,,retweeted,1602788250367758337
6349,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602989710963625984,Twitter for Android,2022-12-14T11:31:43.000Z,['1602989710963625984'],1602989710963625984,pt,2173189515,2000,0,0,0,,,,,retweeted,1602788250367758337
6350,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602989698179268609,Twitter for Android,2022-12-14T11:31:40.000Z,['1602989698179268609'],1602989698179268609,pt,1518757179708293122,1368,0,0,0,,,,,retweeted,1602720475389517824
6351,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602989649471102976,Twitter for Android,2022-12-14T11:31:29.000Z,['1602989649471102976'],1602989649471102976,pt,1388960072445972481,2000,0,0,0,,,,,retweeted,1602788250367758337
6352,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602989648040665088,Twitter for Android,2022-12-14T11:31:28.000Z,['1602989648040665088'],1602989648040665088,pt,2615416526,2000,0,0,0,,,,,retweeted,1602788250367758337
6353,everyone,RT @LulaOficial: O dia de hoje é de agradecimento para quem fez o melhor para examinar o estado atual do nosso país. Acho que teremos uma r…,1602989633737998336,Twitter for Android,2022-12-14T11:31:25.000Z,['1602989633737998336'],1602989633737998336,pt,1550179574218194944,706,0,0,0,,,,,retweeted,1602737786242605059
6354,everyone,@SrReinert vacina batel,1602989608777703425,Twitter for iPhone,2022-12-14T11:31:19.000Z,['1602989608777703425'],1602974475699585024,es,939579791975550978,0,1,0,0,1730295229,,,,replied_to,1602980494282743809
6355,everyone,Essa vacina de 2 meses fez eu chora junto com a Ayla que do mds,1602989606072455171,Twitter for iPhone,2022-12-14T11:31:18.000Z,['1602989606072455171'],1602989606072455171,pt,932335763429216258,0,0,0,0,,,,,,
6356,everyone,"E eu achando que ia ser uma ou duas, a enfermeira não parava de trazer vacina. https://t.co/Wiyxfu41xl",1602989576397660161,Twitter for iPhone,2022-12-14T11:31:11.000Z,['1602989576397660161'],1602989548505554944,pt,1406775179913666564,0,1,0,0,1406775179913666564,,,,replied_to,1602989548505554944
6357,everyone,"@Odecabelo @WLBennington_ @oncebs @choquei propina da vacina, rachadinha, cheques da micheque, 51 imoveis a vista, milhões gastos no cartão corporativo, corrupção do MEC, orçamento secreto de bilhões para o centrão, assessores fantasmas, e 100 anos de sigilo

realmente n tem prova nenhuma",1602989574502117378,Twitter for Android,2022-12-14T11:31:11.000Z,['1602989574502117378'],1602709136298414081,pt,1583554668294201344,0,0,0,0,798310326,,,,replied_to,1602974431931940872
6358,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602989552850927617,Twitter for iPhone,2022-12-14T11:31:06.000Z,['1602989552850927617'],1602989552850927617,pt,1590673614763921416,1368,0,0,0,,,,,retweeted,1602720475389517824
6359,everyone,meu deus seus doido tá todo mundo ficando doente cadê a 4a dose da vacina https://t.co/eHrk3bCbJj,1602989521314119682,Twitter for iPhone,2022-12-14T11:30:58.000Z,['1602989521314119682'],1602989521314119682,pt,1249855386296954880,0,1,0,0,,,,,quoted,1602953572819386376
6360,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602989436786167809,Twitter for iPhone,2022-12-14T11:30:38.000Z,['1602989436786167809'],1602989436786167809,pt,92747633,1368,0,0,0,,,,,retweeted,1602720475389517824
6361,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602989372319870976,Twitter for Android,2022-12-14T11:30:23.000Z,['1602989372319870976'],1602989372319870976,pt,1881449130,1368,0,0,0,,,,,retweeted,1602720475389517824
6362,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602989371271139328,Twitter Web App,2022-12-14T11:30:22.000Z,['1602989371271139328'],1602989371271139328,pt,41531650,2000,0,0,0,,,,,retweeted,1602788250367758337
6363,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602989358570774530,Twitter for Android,2022-12-14T11:30:19.000Z,['1602989358570774530'],1602989358570774530,pt,1385059838015717376,1368,0,0,0,,,,,retweeted,1602720475389517824
6364,everyone,Essa vacina me fudeu,1602989312823513088,Twitter for Android,2022-12-14T11:30:08.000Z,['1602989312823513088'],1602989312823513088,pt,891415457235959809,0,0,0,0,,,,,,
6365,everyone,"RT @marciatiburi: Os terroristas em Brasília criaram a mentira do “infiltrado”,pois mentir é essencial para o avanço de seus empreendimento…",1602989267101302785,Twitter for Android,2022-12-14T11:29:58.000Z,['1602989267101302785'],1602989267101302785,pt,1527349170624835585,401,0,0,0,,,,,retweeted,1602954179890257923
6366,everyone,https://t.co/MExIZ1K1rr,1602989169361420288,Twitter Web App,2022-12-14T11:29:34.000Z,['1602989169361420288'],1602989169361420288,zxx,43677631,1,0,1,0,,,,,,
6367,everyone,tomei a quarta dose da vacina no domingo e ontem eu peguei covid pela primeira vez… qual a chance vei,1602989150105395200,Twitter for iPhone,2022-12-14T11:29:30.000Z,['1602989150105395200'],1602989150105395200,pt,1356160770782896130,0,1,2,0,,,,,,
6368,everyone,"RT @marciatiburi: Os terroristas em Brasília criaram a mentira do “infiltrado”,pois mentir é essencial para o avanço de seus empreendimento…",1602989114181226498,Twitter for iPhone,2022-12-14T11:29:21.000Z,['1602989114181226498'],1602989114181226498,pt,1359902679384936448,401,0,0,0,,,,,retweeted,1602954179890257923
6369,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602989113090752513,Twitter Web App,2022-12-14T11:29:21.000Z,['1602989113090752513'],1602989113090752513,pt,803226172632993792,2000,0,0,0,,,,,retweeted,1602788250367758337
6370,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602989079561371654,Twitter for Android,2022-12-14T11:29:13.000Z,['1602989079561371654'],1602989079561371654,pt,761296037692731392,2000,0,0,0,,,,,retweeted,1602788250367758337
6371,everyone,"RT @contagemcorona1: 🟠VACINEM as CRIANÇAS contra a Paralisia infantil.

O Brasil ainda não atingiu a meta de imunização em 2022.

Vamos com…",1602989075627184128,Twitter Web App,2022-12-14T11:29:12.000Z,['1602989075627184128'],1602989075627184128,pt,34195759,16,0,0,0,,,,,retweeted,1602988688551682048
6372,everyone,RT @mpatriabrasil: Um estudo com milhares de pacientes concluiu que a #vacina reativa o vírus da Herpes Zoster. Os resultados mostraram núm…,1602988994413088769,Twitter Web App,2022-12-14T11:28:53.000Z,['1602988994413088769'],1602988994413088769,pt,1595116077700325377,102,0,0,0,,,,,retweeted,1602647719494967298
6373,everyone,pode fazer tatuagem e tomar vacina no mesmo dia?,1602988992684761089,Twitter for Android,2022-12-14T11:28:52.000Z,['1602988992684761089'],1602988992684761089,pt,1026996010256687105,0,0,0,0,,,,,,
6374,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602988947717902336,Twitter for Android,2022-12-14T11:28:41.000Z,['1602988947717902336'],1602988947717902336,pt,1590666401450283008,1368,0,0,0,,,,,retweeted,1602720475389517824
6375,everyone,""" O discurso parlamentar mais importante que você verá e pode salvar sua vida. O MP pede a suspensão da vacina de mRNA por causa de danos sem precedentes e poucos benefícios. 'Algo está podre na medicina britânica e tem estado por muito tempo' "" https://t.co/I5QNCFdtsu",1602988940851642368,Twitter Web App,2022-12-14T11:28:40.000Z,['1602988940851642368'],1602988940851642368,pt,77754037,15,0,32,0,,,,,quoted,1602931528052383745
6376,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602988874292236288,Twitter for Android,2022-12-14T11:28:24.000Z,['1602988874292236288'],1602988874292236288,pt,958009963418476544,2000,0,0,0,,,,,retweeted,1602788250367758337
6377,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602988809641140224,Twitter for iPhone,2022-12-14T11:28:08.000Z,['1602988809641140224'],1602988809641140224,pt,64760493,1368,0,0,0,,,,,retweeted,1602720475389517824
6378,everyone,"@Tiagolattari @o_antagonista Se o governo do Bolsonaro tivesse furado o Teto de gastos um dia sequer à imprensa e os petistas e os Posois da vida teriam tido ataque de conciencia fiscal no mesmo dia e iriam denunciar , a vacina queriam tomar sem o aval da Anvisa , é uma cambada de inúteis",1602988797016293377,Twitter for iPhone,2022-12-14T11:28:05.000Z,['1602988797016293377'],1602737638137479168,pt,1140752405811867650,0,1,3,0,82493517,,,,replied_to,1602787302979387392
6379,everyone,https://t.co/0MoltgO9qj,1602988788397006849,IFTTT,2022-12-14T11:28:03.000Z,['1602988788397006849'],1602988788397006849,zxx,3472200615,0,0,0,0,,,,,,
6380,everyone,"RT @GuilhermeBoulos: O deputado bolsonarista Luiz Lima (PL) acabou de dizer no Plenário da Câmara que ""o MTST infiltrou gente para queimar…",1602988781459722240,Twitter for Android,2022-12-14T11:28:02.000Z,['1602988781459722240'],1602988781459722240,pt,1105633605261410304,2000,0,0,0,,,,,retweeted,1602788250367758337
6381,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602988780717236228,Twitter for Android,2022-12-14T11:28:02.000Z,['1602988780717236228'],1602988780717236228,pt,55018012,1368,0,0,0,,,,,retweeted,1602720475389517824
6382,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1602988770646982656,Twitter for Android,2022-12-14T11:27:59.000Z,['1602988770646982656'],1602988770646982656,pt,849976567010930690,1368,0,0,0,,,,,retweeted,1602720475389517824
