,tweet,tipo
10569,"A igreja católica, cujo Pontífice exige a vacina, já perdeu centenas de padres este ano por infarto. A verdade é que ninguém quer comentar a quantidade de padres que faleceram e falta de párocos na igreja. É assustador. Neste caso, a pancreatite tb é uma reação da vacina. https://t.co/Ei7smLOJr9",
8789,Estudo organizado pelo Instituto Federal Alemão de Vacinas e Biomedicina mostra que a miocardite aguda está associada à morte após a vacinação contra mRNA https://t.co/n1VdGZsnhS,
3979,"Quinta dose da vacina contra covid começará a ser aplicada em idosos de 70 anos ou mais nesta quarta (14) em São Cristóvão

Leia mais aqui: https://t.co/iUMkhwjvwU https://t.co/qOG7AQnX5m",
5658,@Rhabiba @LOUFLORIPA Diz que a invermectina melhoras as reações da vacina tbm,replied_to
4556,"@callxmastia A galera ama Arthur Morgan mas ele matava pessoas pobres que não tinham dinheiro... Pq não amar Abby, já que ele matou um velho anti-vacina.",replied_to
10282,"@bolsonaroTV_ No mínimo, seremos a população mais bem informada(alertada), atenda e com olhos abertos para as coisas tortas do mundo! 
Tipo: possíveis pandemias, vacinação em massa, ordem mundial, corrupção, etc.
Enganados não mais!",replied_to
855,"Vc sabia? No dia 21/10/2020, Bolsonaro disse que os processos de compra de qualquer vacina contra a covid-19 estavam descartados. 
 https://t.co/QDE4FRnBF0",quoted
8975,"BEBEDOURO - 2º ´Pedal Solidário´ terá shows, vacinação e doações neste domingo (18)

https://t.co/nCBcTMlSNx https://t.co/n3TiZD6b4D",
13925,"muita gente do meu meio n se vacinou pq n pode parar tres dias pra se recuperar da vacina, ou conseguir trabalhar estando baqueado",
13711,"@claudioedantas Poxa  tá certo 

Não comprar vacina é super de boa",replied_to
8059,"@duck_lina Eu sofri em todas as doses de vacina de covid, mas essa tá até leve? Não lembro da reação da dupla adulto de 10 anos atrás (11, na real)",replied_to
10989,e meu irmão de um ano q tomou vacina e minha mãe é a pessoa mais feliz do mundo https://t.co/u3STmt7HHW,
15239,Tomei a vacina e meu braço já está doendo e pesado,
9084,"@mqueiroga2 Vacina COVID 19 mas estamos em 2022 indo para 2023, muitas e muitas mutações aconteceram....",replied_to
10468,"krl essas merdas de vacina sempre são na puta q pariu, como q faz quem n tem condição de ir?",
13661,"Vc sabia? Bolsonaro fez maior ""toma lá, dá cá"" da história, mas economiza com vacina 
 https://t.co/bQCPQ3Zh1G",quoted
13538,"Arthur tomou duas vacina e não está nem conseguindo mexer o braço, está manhoso demais.🥺",
1918,Fiquei esperando por essa vacina da covid para Madalena e ela não vai poder tomar pq tá gripada. 😫,
11275,"@CortesPodcashq @fatooufake E mais, instigava movimentos antimáscara e antivacina. Mas além de burro tu é mau caráter",replied_to
648,@francielefmf E os lotes de vacina também,replied_to
2637,"Equipe de transição defende pensão para órfãos da Pandemia de Covid-19. https://t.co/abJWnUK6uM

#COVID19 #COVID #Covid_19 #pandemia #vacina #virus #Brasil https://t.co/WmG0pWMsLE",
1512,"@OsmarTerra Dr essa informação procede?
https://t.co/4Un95vJspR",replied_to
8180,"@LulaOficial @Malvola131 Não te pediria isso, porque não esqueci toda a sacanagem golpista que fizeram. Por causa disso o Inominável ganhou, pelo negacionismo dele a vacina demorou a chegar no meu Estado e um ente querido morreu de covid em dezembro de 2020. Imperdoável! https://t.co/XktfIphrRV",replied_to
7465,"💉🦠 O principal entrave à vacinação nos países em desenvolvimento é a dificuldade de manutenção da cadeia de frio para conservação de vacinas. Na iminência do arranque da Campanha Nacional de Vacinação Animal, os materiais de apoio estão a chegar aos armazéns da @FAO em #Bissau https://t.co/dK8OV1NwAW",
14057,Prefeitura de Sorocaba oferece ação especial de vacinação contra Poliomielite e Covid-19 neste sábado (17) na Praça Cel. Fernando Prestes https://t.co/nDP4YdT46O,
